"HIOKI E.E. CORPORATION,""IM3570"",""Ver. 3.11""";;
;;
"DATE,""17-12-15""";;
"TIME,""01:17:25""";;
;;
"SOURCE,""FREQ""";;
"TRIG,""REPEAT""";;
"DRAW,""REAL""";;
"TRIG DELAY,""0.0000"",""s""";;
"DCBIAS,""OFF""";;
;;
"V,""0.100"",""V""";;
"RANGE,""AUTO""";;
"SPEED,""SLOW""";;
"AVG,""OFF""";;
"POINT DELAY,""0.0000"",""s""";;
"No.,""FREQUENCY(Hz)"",""Z[]"",""OFF""";;
1;80.000E+03;209.6171E+03
2;80.088E+03;208.4541E+03
3;80.175E+03;207.0320E+03
4;80.263E+03;205.8703E+03
5;80.350E+03;204.5471E+03
6;80.438E+03;203.4826E+03
7;80.525E+03;202.1666E+03
8;80.613E+03;201.0144E+03
9;80.700E+03;199.5770E+03
10;80.788E+03;198.3640E+03
11;80.875E+03;197.2182E+03
12;80.963E+03;195.9049E+03
13;81.050E+03;194.6625E+03
14;81.138E+03;193.5268E+03
15;81.225E+03;192.1741E+03
16;81.313E+03;191.0610E+03
17;81.400E+03;189.8026E+03
18;81.488E+03;188.3072E+03
19;81.575E+03;186.8996E+03
20;81.663E+03;185.9633E+03
21;81.750E+03;184.3385E+03
22;81.838E+03;183.1246E+03
23;81.925E+03;181.7350E+03
24;82.013E+03;180.4682E+03
25;82.100E+03;179.1113E+03
26;82.188E+03;177.6936E+03
27;82.275E+03;176.3658E+03
28;82.363E+03;174.7632E+03
29;82.450E+03;173.3524E+03
30;82.538E+03;171.8426E+03
31;82.625E+03;170.4361E+03
32;82.713E+03;169.5150E+03
33;82.800E+03;169.3947E+03
34;82.888E+03;170.0874E+03
35;82.975E+03;170.1491E+03
36;83.063E+03;168.9025E+03
37;83.150E+03;167.2464E+03
38;83.238E+03;165.6186E+03
39;83.325E+03;164.0883E+03
40;83.413E+03;162.4661E+03
41;83.500E+03;161.1845E+03
42;83.588E+03;159.6133E+03
43;83.675E+03;158.1211E+03
44;83.763E+03;156.7837E+03
45;83.850E+03;155.2331E+03
46;83.938E+03;153.8565E+03
47;84.025E+03;152.5949E+03
48;84.113E+03;151.2938E+03
49;84.200E+03;150.2766E+03
50;84.288E+03;148.5414E+03
51;84.375E+03;147.0714E+03
52;84.463E+03;145.8453E+03
53;84.550E+03;144.3713E+03
54;84.638E+03;142.8610E+03
55;84.725E+03;141.7031E+03
56;84.813E+03;140.1049E+03
57;84.900E+03;138.7099E+03
58;84.988E+03;137.4753E+03
59;85.075E+03;135.9320E+03
60;85.163E+03;134.5935E+03
61;85.250E+03;133.2883E+03
62;85.338E+03;131.7325E+03
63;85.425E+03;130.4336E+03
64;85.513E+03;129.0465E+03
65;85.600E+03;127.5958E+03
66;85.688E+03;126.1472E+03
67;85.775E+03;124.7225E+03
68;85.863E+03;123.3070E+03
69;85.950E+03;121.9612E+03
70;86.038E+03;120.4684E+03
71;86.125E+03;119.0810E+03
72;86.213E+03;117.6885E+03
73;86.300E+03;116.1442E+03
74;86.388E+03;114.7711E+03
75;86.475E+03;113.2987E+03
76;86.563E+03;111.7625E+03
77;86.650E+03;110.4517E+03
78;86.738E+03;108.8852E+03
79;86.825E+03;107.3442E+03
80;86.913E+03;105.9495E+03
81;87.000E+03;104.3257E+03
82;87.088E+03;102.7806E+03
83;87.175E+03;101.3454E+03
84;87.263E+03;99.76697E+03
85;87.350E+03;98.21956E+03
86;87.438E+03;96.60360E+03
87;87.525E+03;94.95814E+03
88;87.613E+03;93.42412E+03
89;87.700E+03;92.27908E+03
90;87.788E+03;91.50429E+03
91;87.875E+03;90.28305E+03
92;87.963E+03;88.64839E+03
93;88.050E+03;87.05509E+03
94;88.138E+03;85.61994E+03
95;88.225E+03;84.28763E+03
96;88.313E+03;82.71273E+03
97;88.400E+03;81.02767E+03
98;88.488E+03;79.50832E+03
99;88.575E+03;77.67738E+03
100;88.663E+03;75.83471E+03
101;88.750E+03;73.95505E+03
102;88.838E+03;72.48223E+03
103;88.925E+03;72.50968E+03
104;89.013E+03;72.88779E+03
105;89.100E+03;70.88456E+03
106;89.188E+03;68.71686E+03
107;89.275E+03;66.79463E+03
108;89.363E+03;64.93277E+03
109;89.450E+03;63.18842E+03
110;89.538E+03;61.42561E+03
111;89.625E+03;59.71587E+03
112;89.713E+03;58.00465E+03
113;89.800E+03;56.32320E+03
114;89.888E+03;54.61725E+03
115;89.975E+03;52.93256E+03
116;90.063E+03;51.21232E+03
117;90.150E+03;49.52938E+03
118;90.238E+03;47.87082E+03
119;90.325E+03;46.17566E+03
120;90.413E+03;44.44659E+03
121;90.500E+03;42.73261E+03
122;90.588E+03;40.96396E+03
123;90.675E+03;39.18066E+03
124;90.763E+03;37.35892E+03
125;90.850E+03;35.60127E+03
126;90.938E+03;33.88430E+03
127;91.025E+03;32.24611E+03
128;91.113E+03;30.70537E+03
129;91.200E+03;29.34766E+03
130;91.288E+03;28.20520E+03
131;91.375E+03;27.35207E+03
132;91.463E+03;26.67379E+03
133;91.550E+03;26.01604E+03
134;91.638E+03;25.11590E+03
135;91.725E+03;23.87806E+03
136;91.813E+03;22.39291E+03
137;91.900E+03;20.78857E+03
138;91.988E+03;19.17442E+03
139;92.075E+03;17.60962E+03
140;92.163E+03;16.17491E+03
141;92.250E+03;14.92271E+03
142;92.338E+03;13.87803E+03
143;92.425E+03;13.11880E+03
144;92.513E+03;12.66083E+03
145;92.600E+03;12.55629E+03
146;92.688E+03;12.81412E+03
147;92.775E+03;13.41396E+03
148;92.863E+03;14.32856E+03
149;92.950E+03;15.49392E+03
150;93.038E+03;16.91502E+03
